Date,Ireland bus data,UK bus data,Year,Month,Ireland bus data Lag,UK bus data Lag
2019-01-01,2485599000000.0,171.3,2019,January,,
2019-02-01,2783538000000.0,171.3,2019,February,2485599000000.0,171.3
2019-03-01,2821046000000.0,182.7,2019,March,2783538000000.0,171.3
2019-04-01,3430775000000.0,156.6,2019,April,2821046000000.0,182.7
2019-05-01,2771398000000.0,171.4,2019,May,3430775000000.0,156.6
2019-06-01,2649806000000.0,177.0,2019,June,2771398000000.0,171.4
2019-07-01,3520064000000.0,149.8,2019,July,2649806000000.0,177.0
2019-08-01,2684969000000.0,159.8,2019,August,3520064000000.0,149.8
2019-09-01,3902084000000.0,179.3,2019,September,2684969000000.0,159.8
2019-10-01,3230737000000.0,168.9,2019,October,3902084000000.0,179.3
2019-11-01,2988418000000.0,176.2,2019,November,3230737000000.0,168.9
2019-12-01,3633236000000.0,141.0,2019,December,2988418000000.0,176.2
2020-01-01,4357933000000.0,169.4,2020,January,3633236000000.0,141.0
2020-02-01,2961831000000.0,165.2,2020,February,4357933000000.0,169.4
2020-03-01,2412633000000.0,126.4,2020,March,2961831000000.0,165.2
2020-04-01,363753.0,30.2,2020,April,2412633000000.0,126.4
2020-05-01,488617.0,32.5,2020,May,363753.0,30.2
2020-06-01,1070214.0,66.7,2020,June,488617.0,32.5
2020-07-01,1350221.0,75.2,2020,July,1070214.0,66.7
2020-08-01,1853837.0,94.8,2020,August,1350221.0,75.2
2020-09-01,1717699000000.0,102.0,2020,September,1853837.0,94.8
2020-10-01,1543419.0,88.9,2020,October,1717699000000.0,102.0
2020-11-01,1395010.0,89.0,2020,November,1543419.0,88.9
2020-12-01,1561818.0,57.5,2020,December,1395010.0,89.0
2021-01-01,912557.0,51.6,2021,January,1561818.0,57.5
2021-02-01,829573.0,56.9,2021,February,912557.0,51.6
2021-03-01,1245362.0,72.9,2021,March,829573.0,56.9
2021-04-01,1198532.0,95.9,2021,April,1245362.0,72.9
2021-05-01,1874425000000.0,104.3,2021,May,1198532.0,95.9
2021-06-01,1756319000000.0,109.1,2021,June,1874425000000.0,104.3
2021-07-01,1822897.0,98.8,2021,July,1756319000000.0,109.1
2021-08-01,2340740000000.0,115.5,2021,August,1822897.0,98.8
2021-09-01,2255522000000.0,130.2,2021,September,2340740000000.0,115.5
2021-10-01,2326457000000.0,125.4,2021,October,2255522000000.0,130.2
2021-11-01,2898459000000.0,131.3,2021,November,2326457000000.0,125.4
2021-12-01,1750997.0,95.1,2021,December,2898459000000.0,131.3
2022-01-01,4214227000000.0,123.5,2022,January,1750997.0,95.1
2022-02-01,2265562000000.0,127.8,2022,February,4214227000000.0,123.5
2022-03-01,2313473000000.0,126.7,2022,March,2265562000000.0,127.8
2022-04-01,2410445000000.0,135.0,2022,April,2313473000000.0,126.7
2022-05-01,3341872000000.0,140.5,2022,May,2410445000000.0,135.0
2022-06-01,2632033000000.0,137.8,2022,June,3341872000000.0,140.5
2022-07-01,2703840000000.0,122.5,2022,July,2632033000000.0,137.8
2022-08-01,3410689000000.0,132.9,2022,August,2703840000000.0,122.5
2022-09-01,3304548000000.0,147.0,2022,September,3410689000000.0,132.9
2022-10-01,4276945000000.0,143.1,2022,October,3304548000000.0,147.0
2022-11-01,3480157000000.0,146.0,2022,November,4276945000000.0,143.1
2022-12-01,2782157000000.0,116.9,2022,December,3480157000000.0,146.0
2023-01-01,5614419000000.0,141.3,2023,January,2782157000000.0,116.9
2023-02-01,3449483000000.0,141.6,2023,February,5614419000000.0,141.3
2023-03-01,3371268000000.0,142.2,2023,March,3449483000000.0,141.6
2023-04-01,3316444000000.0,140.9,2023,April,3371268000000.0,142.2
2023-05-01,4302030000000.0,145.8,2023,May,3316444000000.0,140.9
2023-06-01,3125440000000.0,147.1,2023,June,4302030000000.0,145.8
2023-07-01,4017850000000.0,129.7,2023,July,3125440000000.0,147.1
2023-08-01,3250351000000.0,139.6,2023,August,4017850000000.0,129.7
2023-09-01,3770186000000.0,155.4,2023,September,3250351000000.0,139.6
